HDO-kategori,Tema,Tekst,Løfte-ID,Partier,Hvem
"Kultur, religion og frivillighet",NRK,Øke støttemidlene til NRK.,59285,SV,Amund
"Kultur, religion og frivillighet",NRK,Beholde NRKs allmennkringkasterrolle.,54626 / 61401 / 57050 / 59285 / 60613 / 62341 / 58498,KrF / Sp / A / SV / H / MDG / V,Amund
Landbruk og fiskeri,Pelsdyr,Forby pelsdyroppdrett og gi omstillingsmidler til næringen.,59649,SV,Amund
Landbruk og fiskeri,Pelsdyr,Forby pelsdyroppdrett og import av pels.,57640 / 61579,V / MDG,Amund
Landbruk og fiskeri,Pelsdyr,Videreføre pelsdyrnæringen og stille strenge krav til dyrevelferd.,60857 / 60568,Sp / H,Amund
Landbruk og fiskeri,Pelsdyr,Styrt avvikling av pelsdyrnæringen og innføre kompenserende tiltak i en overgangsperiode.,56867,A,Amund
Offentlig forvaltning,Kommunereform,Mot tvangssammenslåing av kommuner.,59224 / 61624 / 60800,SV / MDG / Sp,Amund
Offentlig forvaltning,Kommunereform,Mot tvangssammenslåing og tilby oppheving av allerede vedtatte kommunesammenslåinger.,60800,Sp,Amund
Offentlig forvaltning,Kommunereform,Stimulere til flere frivillige kommunesammenslåinger.,57122,Ap,Amund
Offentlig forvaltning,Kommunereform,Gjennomføre sammenslåingsvedtak og fortsette prosessen mot større kommuner.,60733,H,Amund
Offentlig forvaltning,Kommunereform,Ivareta små kommuner som ikke tjener på sammenslåing.,57821,V,Amund
Økonomi og næringsliv,Skattenivå,Redusere skatte- og avgiftsnivået.,55617 / 59974,FrP / H,Amund
Økonomi og næringsliv,Skattenivå,Beskatte vanlige lønnsinntekter som i dag eller lavere.,56296,A,Amund
Økonomi og næringsliv,Skattenivå,Redusere skatt på lav inntekt og øke skatt på høyere inntekt.,60750 / 61733,Sp / MDG,Amund
Økonomi og næringsliv,Skattenivå,"Øke skatten på formue, arv og eiendom, og senke den på arbeid.",58865,SV,Amund
Økonomi og næringsliv,Skattenivå,"Gjøre det lønnsomt å bruke minst mulig naturressurser (dvs. ""grønt"" skatteskifte).",57656 / 55139 / 61798 / 58930,V / KrF / MDG / SV,Amund
Helse og omsorg,Fritt behandlingvalg,For fritt behandlingsvalg.,60413 / 55551 / 62170,H / FrP / MDG,Amund
Helse og omsorg,Fritt behandlingvalg,Mot fritt behandlingsvalg-reformen.,56593 / 59452,A / SV,Amund
